,0005.HK,0700.HK,1299.HK,2318.HK,AAPL,AC.PA,AIR.PA,ALV.DE,AMZN,BABA,BRK-A,DAL,DIS,ENI.MI,MAR,MSFT,SIX,VOW3.DE
^NDX,0.0056,0.0078,-0.0032,0.0052,1.1481,0.1479,0.1752,0.154,1.3913,0.9914,0.0498,0.4842,0.3912,-0.0754,0.6776,1.0625,0.3876,0.1869
^STOXX50E,0.0359,0.0464,-0.0102,0.037,-0.0809,0.8554,1.0019,0.8909,-0.1088,0.0856,0.1456,0.2113,0.0482,0.9671,0.0886,-0.0324,0.1047,1.0758
^HSI,0.7316,1.2378,1.1005,1.1809,0.0326,0.1118,0.0042,0.0238,0.0931,0.3182,-0.0486,0.0013,-0.0325,0.0347,0.0207,-0.0511,-0.0622,0.0696
IEF,0.0077,0.0143,0.0178,0.0144,-0.0166,-0.0809,-0.0968,-0.0857,-0.0182,-0.0247,-0.0168,-0.031,-0.0141,-0.0881,-0.0232,-0.0209,-0.0195,-0.1029
SHY,0.0011,0.0021,0.0027,0.0021,-0.0032,-0.014,-0.0167,-0.0148,-0.0035,-0.0046,-0.0029,-0.0055,-0.0025,-0.0152,-0.0042,-0.0039,-0.0034,-0.0178
VIXY,-0.0009,-0.0067,-0.0014,-0.0013,0.0325,0.03,0.0257,0.0322,0.0574,0.0086,-0.1272,-0.0709,-0.057,-0.0188,-0.0413,0.0041,-0.0324,0.0336
LQD,0.0179,0.0312,0.0307,0.0302,0.0415,-0.0459,-0.0571,-0.0503,0.0525,0.034,-0.0092,0.0016,0.0081,-0.062,0.0159,0.0335,0.0037,-0.0596
HYG,0.0029,0.0037,-0.002,0.0026,0.1825,0.0836,0.0984,0.0871,0.2202,0.1685,0.0199,0.0951,0.0683,0.0553,0.118,0.1723,0.0714,0.1054
IBND,0.0672,0.1167,0.114,0.1127,-0.0476,-0.1603,-0.2006,-0.1764,-0.0506,-0.0407,-0.0326,-0.066,-0.0335,-0.1755,-0.0525,-0.0598,-0.0476,-0.2088
TIP,0.0188,0.0326,0.0319,0.0315,0.0039,-0.0443,-0.0556,-0.0488,0.007,0.003,-0.01,-0.0126,-0.0043,-0.0526,-0.0054,-0.0011,-0.0082,-0.0578
systematic_ratio,0.713528823,0.764055973,0.771010337,0.762493095,0.732581996,0.650030687,0.698072882,0.828397029,0.730888609,0.639578175,0.65630931,0.546885569,0.532308247,0.745842537,0.653357806,0.774030469,0.373615942,0.621722743
correlation_to_pca,0.767683082,0.797720793,0.795832629,0.788997708,0.800383841,0.688902657,0.721026089,0.851509744,0.833506455,0.669455022,0.695035045,0.572643279,0.607704929,0.764121046,0.683988315,0.864944932,0.428384461,0.691338238
correl_to_generic,0.732646531,0.780029713,0.76251697,0.776844283,0.767330754,0.656025015,0.698254763,0.832085981,0.744050549,0.634516841,0.671590364,0.55474555,0.535101826,0.740290933,0.637332461,0.827603487,0.395647001,0.624879672
